epochs,tr_loss,tr_acc,val_loss,val_acc
160,0.9592073082923889,60.9375,0.7591362595558167,17.5
161,0.9678638935089111,63.74999999999999,-0.4942229390144348,10.0
162,0.8952180981636048,65.0,-0.4942229390144348,10.0
163,0.9733040809631348,61.875,-0.4942229390144348,10.0
164,0.9665496587753296,62.18749999999999,-0.4942229390144348,10.0
165,0.9471123456954956,65.625,-0.4942229390144348,10.0
166,0.93025883436203,65.9375,-0.4942229390144348,10.0
167,0.9692795038223266,59.68750000000001,-0.4942229390144348,10.0
168,0.989651882648468,56.875,1.2388172149658203,10.0
169,0.9113289833068847,68.4375,-1.1422337293624878,13.75
170,0.9078919172286988,63.125,-1.047114610671997,10.0
171,0.9154240012168884,60.0,-0.4942229390144348,10.0
172,0.934794807434082,62.81250000000001,-0.43113431334495544,13.75
173,0.9542814731597901,58.4375,-0.4942229390144348,10.0
174,0.9884043574333191,59.06249999999999,-0.4942229390144348,10.0
175,0.9970322012901306,60.0,-0.4942229390144348,10.0
176,0.8859777331352234,64.375,-0.4942229390144348,10.0
177,0.9414049625396729,61.875,-0.4942229390144348,10.0
178,0.9235693216323853,65.0,-0.47319337725639343,11.25
179,0.9121866106987,65.3125,-0.4942229390144348,10.0
180,0.8945991635322571,65.3125,-0.4942229390144348,10.0
181,0.9175217628479004,68.4375,-0.46244922280311584,11.25
182,0.9137548446655274,61.5625,-0.4942229390144348,10.0
183,0.8917672157287597,63.125,-0.35795339941978455,17.5
184,0.9329312205314636,61.875,-0.5388073325157166,11.25
185,0.8964291453361511,62.18749999999999,-0.4942229390144348,10.0
186,0.9039254069328309,62.18749999999999,0.11161531507968903,30.000001907348633
187,1.0115770101547241,57.49999999999999,0.39472758769989014,22.5
188,1.002335000038147,60.62499999999999,-0.027367567643523216,16.25
189,0.931135606765747,60.0,0.5488411784172058,18.75
190,0.9981267571449279,62.18749999999999,-0.14805392920970917,21.25
191,0.9233974575996399,67.5,-0.37517276406288147,13.75
192,0.9432557463645935,60.9375,-1.3883099555969238,16.25
193,0.9077049016952514,60.9375,-1.6596935987472534,12.5
194,0.9072264194488525,65.0,-0.42418310046195984,11.25
195,0.8851550579071045,61.25000000000001,-0.36804577708244324,15.000000953674316
196,0.9731976509094238,60.3125,-0.4942229390144348,10.0
197,0.9349757671356201,62.81250000000001,-0.4942229390144348,10.0
198,0.9607557654380798,59.68750000000001,-0.07560224831104279,25.0
199,0.8840022802352905,67.8125,0.9974565505981445,23.75
200,0.8553898692131042,69.0625,-0.4102805256843567,13.75
201,0.8986070275306701,65.625,-0.4942229390144348,10.0
202,0.8775676608085632,65.0,-0.4942229390144348,10.0
203,0.946421492099762,61.25000000000001,-0.4942229390144348,10.0
204,0.8902798295021057,65.9375,-0.296782523393631,13.75
205,0.8597506761550904,67.1875,0.35536959767341614,17.5
206,0.8943982124328613,61.875,-1.109943151473999,17.5
207,0.8488362908363343,65.0,-1.1205683946609497,20.0
208,0.9092266082763671,60.62499999999999,1.4038227796554565,13.75
209,0.8524045348167419,65.3125,0.30745115876197815,20.0
210,0.8960134148597717,65.3125,-0.4521639049053192,10.0
211,0.8795062303543091,67.1875,-0.3764576315879822,15.000000953674316
212,0.9605334520339965,60.0,1.087196707725525,15.000000953674316
213,0.8864106297492981,64.6875,1.2363669872283936,21.25
214,0.9468303322792053,56.56250000000001,-1.1956580877304077,17.5
215,0.9195332050323486,65.3125,-0.3693476915359497,13.75
216,0.9201947808265686,62.81250000000001,0.23049214482307434,22.5
217,0.8991793274879456,65.0,-0.5450901389122009,11.25
218,0.8996378779411316,61.875,-0.4715127944946289,11.25
219,0.909029757976532,62.18749999999999,-0.09791108220815659,23.75
220,0.9047061920166015,66.5625,1.3901073932647705,31.25
221,0.8926669955253601,63.4375,-2.1506662368774414,15.000000953674316
222,0.901637876033783,65.0,1.3227273225784302,10.0
223,0.8966676592826843,63.4375,1.3898460865020752,13.75
224,0.8975309491157532,64.0625,1.3898460865020752,13.75
225,0.8705250382423401,67.8125,1.1181429624557495,17.5
226,0.8610141754150391,66.25,0.7859380841255188,20.0
227,0.9235209941864013,65.625,0.9119521379470825,23.75
228,0.8760262370109558,63.125,1.7168174982070923,21.25
229,0.879910123348236,66.875,1.2685092687606812,15.000000953674316
230,0.8050769925117492,67.8125,-1.0602846145629883,18.75
231,0.8027043342590332,69.375,0.056151386350393295,26.250001907348633
232,0.8653266787528991,65.3125,4.1659159660339355,10.0
233,0.9670178651809692,64.6875,1.050635814666748,15.000000953674316
234,0.9206824421882629,61.875,0.9294924139976501,25.0
235,0.8847368121147156,63.125,1.3563745021820068,10.0
236,0.8828642010688782,62.81250000000001,1.3563745021820068,10.0
237,0.879771375656128,64.375,-0.43826133012771606,12.5
238,0.8254563331604003,70.9375,-0.4521639049053192,10.0
239,0.9143944263458252,62.81250000000001,-0.4942229390144348,10.0
240,0.905269205570221,65.625,-0.027367567643523216,13.75
241,0.9298617005348205,64.0625,1.0857362747192383,16.25
242,0.9359688282012939,61.25000000000001,0.665145993232727,20.0
243,0.8813620328903198,62.18749999999999,0.5362234115600586,20.0
244,0.8739075660705566,63.74999999999999,0.808498203754425,18.75
245,0.8963555812835693,61.5625,-0.24082092940807343,16.25
246,0.8991700649261475,63.125,-0.4102805256843567,13.75
247,0.8791358351707459,62.5,1.265808343887329,20.0
248,0.882507050037384,58.75,1.2548712491989136,18.75
249,0.8896328568458557,65.625,1.3415145874023438,17.5
250,0.8687375068664551,67.5,1.1416977643966675,18.75
251,0.9305724859237671,62.18749999999999,-0.20144589245319366,18.75
252,0.9405865550041199,62.5,0.9175443649291992,25.0
253,0.9218160748481751,66.5625,-0.2685646414756775,17.5
254,0.9075692057609558,64.375,1.2129249572753906,20.0
255,0.8658658266067505,68.4375,1.2491776943206787,18.75
256,0.8940389275550842,64.0625,-0.08733044564723969,16.25
257,0.8033895373344422,70.9375,-0.5388073325157166,11.25
258,0.8565380811691284,64.6875,-0.5388073325157166,11.25
259,0.8369466066360474,67.8125,-0.24082092940807343,16.25
260,0.8136003255844116,69.375,0.03311881050467491,11.25
261,0.8969050526618958,64.6875,-0.4942229390144348,10.0
262,0.9103779435157776,65.9375,1.3424723148345947,18.75
263,0.8501357197761535,67.1875,1.3351693153381348,15.000000953674316
264,0.851912772655487,65.9375,1.2370233535766602,21.25
265,0.9651751756668091,65.3125,1.1383682489395142,21.25
266,0.8888798952102661,63.74999999999999,1.3898460865020752,13.75
267,0.8364378213882446,66.875,1.3563745021820068,10.0
268,0.8438703775405884,66.875,1.3563745021820068,10.0
269,0.8703870654106141,65.9375,0.977895200252533,13.75
270,0.84227956533432,64.375,-0.2725946307182312,17.5
271,0.8619465708732605,64.375,0.41338062286376953,20.0
272,0.8568804144859314,65.625,1.2630189657211304,22.5
273,0.9137251615524292,65.0,0.5630818605422974,25.0
274,0.8679346799850464,67.1875,1.351393461227417,22.5
275,0.8596043705940246,67.5,1.4121603965759277,16.25
276,0.9198323011398315,61.875,0.5582457780838013,23.75
277,0.9230149149894714,67.1875,1.3604048490524292,15.000000953674316
278,0.9390779972076416,63.74999999999999,0.48154670000076294,17.5
279,0.9059794664382934,63.125,1.4801582098007202,18.75
280,0.8852617263793945,65.9375,1.3898460865020752,13.75
281,0.8779762983322144,67.8125,0.6620414853096008,20.0
282,0.8618030428886414,66.25,-2.3643062114715576,12.5
283,0.9281004071235657,58.12500000000001,0.08105272054672241,31.25
284,0.8376331925392151,66.5625,1.3563745021820068,10.0
285,0.8783608913421631,63.4375,1.2834137678146362,13.75
286,0.897120201587677,65.0,0.4884980320930481,20.0
287,0.8863277196884155,59.68750000000001,-0.4942229390144348,10.0
288,0.9238665580749512,65.625,0.2964843213558197,22.5
289,0.8215151071548462,62.5,-0.007226952817291021,21.25
290,0.8276222109794616,63.125,1.3795608282089233,16.25
291,0.8477766633033752,69.0625,1.3898460865020752,13.75
292,0.86854487657547,65.9375,0.7490891814231873,32.5
293,0.8087192416191101,65.9375,0.3155800998210907,23.75
294,0.8474158883094788,64.375,-0.37103888392448425,20.0
295,0.8456271886825562,68.125,-0.5090588927268982,21.25
296,0.8673318862915039,65.625,0.05001458153128624,28.75
297,0.9000647664070129,64.0625,-0.09307046979665756,50.0
298,0.8363728284835815,65.625,1.021407127380371,20.0
299,0.8669628858566284,66.25,-0.12433476746082306,12.5
300,0.8850334644317627,65.625,1.3375999927520752,16.25
301,0.8205512881278991,69.0625,0.6496293544769287,12.5
302,0.8602966785430908,67.8125,-0.40315350890159607,15.000000953674316
303,0.8463933587074279,65.625,-0.4942229390144348,10.0
304,0.8728676080703736,69.6875,-0.47319337725639343,11.25
305,0.9095462083816528,64.0625,-0.12573961913585663,21.25
306,0.8656229138374328,61.25000000000001,0.4786170423030853,40.0
307,0.8239086031913757,66.5625,0.2328536957502365,41.25
308,0.8461896777153015,71.5625,1.258029580116272,20.0
309,0.8215406537055969,69.0625,0.34543320536613464,35.0
310,0.8591450214385986,61.875,-0.3756304085254669,25.0
311,0.8620968461036682,69.6875,0.21181698143482208,22.5
312,0.8859296321868897,65.9375,-0.6667864322662354,33.75
313,0.898781669139862,64.375,-0.17244040966033936,21.25
314,0.8687923908233642,67.1875,0.14897330105304718,21.25
315,0.8255790948867798,62.5,0.5839468240737915,25.0
