epochs,tr_loss,tr_acc,val_loss,val_acc
113,2.1797500228881836,38.625,4.195047855377197,4.25
114,2.168762264251709,39.375,4.636099338531494,4.25
115,2.188764801025391,38.5625,4.483493328094482,2.499999761581421
116,2.1314355754852294,40.4375,3.0021069049835205,2.499999761581421
117,2.083292393684387,41.75,5.241948127746582,2.499999761581421
118,2.1264622974395753,38.375,3.6492345333099365,4.0
119,2.145171728134155,40.125,5.085249423980713,1.5
120,2.1492523384094238,37.8125,4.367247104644775,3.25
121,2.1505976915359497,40.6875,1.7828458547592163,2.25
122,2.1570555782318115,39.75,2.7028775215148926,3.0
123,2.1423868894577027,41.5625,4.091114521026611,2.75
124,2.1754448890686033,38.5625,3.5919344425201416,3.25
125,2.1047504997253417,41.1875,1.7734001874923706,2.0
126,2.156355576515198,38.6875,5.029677867889404,3.749999761581421
127,2.1282087326049806,39.125,-0.01752704568207264,2.499999761581421
128,2.124650921821594,39.875,3.9003634452819824,1.75
129,2.1645623254776,39.8125,5.9475555419921875,2.0
130,2.1579466104507445,40.4375,3.1934008598327637,2.75
131,2.120721435546875,42.125,3.4245898723602295,2.25
132,2.143569140434265,40.5,5.212605953216553,2.499999761581421
133,2.1203003406524656,40.5625,6.5993266105651855,3.5
134,2.1056066226959227,40.125,5.147182464599609,3.5
135,2.108986701965332,42.375,5.76241397857666,3.25
136,2.0751045608520506,41.1875,4.668449878692627,2.499999761581421
137,2.0861325788497926,42.5,1.9195300340652466,1.5
138,2.091383352279663,41.375,4.939848899841309,4.0
139,2.0810739612579345,42.8125,3.818491220474243,2.25
140,2.0929721927642824,40.5625,4.9341840744018555,2.25
141,2.0918284177780153,41.75,3.5576677322387695,3.749999761581421
142,2.0360092449188234,42.875,2.7262117862701416,1.75
143,2.0439814567565917,42.5,4.303704738616943,4.999999523162842
144,2.0507621908187867,44.75,1.6927555799484253,3.5
145,2.05010112285614,43.9375,3.345268487930298,2.0
146,2.063884997367859,42.3125,4.304759502410889,2.0
147,2.0875203227996826,42.5625,3.8647515773773193,2.75
148,2.0550366258621215,42.9375,1.786906123161316,2.0
149,2.035369801521301,44.5625,5.347431659698486,2.75
150,2.026245813369751,43.25,5.775032997131348,1.75
151,2.0272602653503418,45.625,3.5293796062469482,2.25
152,2.056525549888611,44.3125,3.389709949493408,3.5
153,2.0373509693145753,43.625,5.488588333129883,2.25
154,2.0633869695663454,44.0,5.017364025115967,2.25
155,2.0083163261413572,43.4375,5.081027030944824,2.499999761581421
156,2.0277922105789186,44.0,6.138693809509277,2.499999761581421
157,2.013145728111267,43.875,3.4930248260498047,2.499999761581421
158,2.027582664489746,44.0,3.212998628616333,0.75
159,2.0258086061477663,42.9375,2.6666388511657715,3.25
160,2.0605461597442627,42.5625,5.396677017211914,1.5
161,2.058481707572937,44.5625,2.724928617477417,1.2499998807907104
162,1.97382511138916,47.0,4.8651123046875,1.0
163,2.026543588638306,43.375,4.910576820373535,2.75
164,2.0134516191482543,44.625,2.887937545776367,2.75
165,1.966329255104065,45.125,3.8611021041870117,2.499999761581421
166,2.035612063407898,43.25,3.4469079971313477,3.5
167,2.011974754333496,42.8125,5.090829372406006,2.25
168,2.0043725061416624,45.0,3.722327470779419,1.5
169,1.9968034076690673,46.4375,0.760435163974762,3.5
170,1.971688904762268,44.875,3.4588396549224854,3.25
171,1.9609021139144898,46.125,3.717155694961548,3.5
172,1.9825110197067262,44.9375,4.702338695526123,1.2499998807907104
173,1.9802989625930787,45.1875,4.031965732574463,2.0
174,2.0187585973739623,44.0,5.0515642166137695,2.0
175,1.995720534324646,44.25,3.026221513748169,2.0
176,1.9619982385635375,47.1875,3.9012610912323,3.25
177,1.9820683193206787,44.1875,2.6680526733398438,2.25
178,1.9842275762557984,45.625,3.267070770263672,2.75
179,2.007909264564514,45.75,4.4070963859558105,3.5
180,1.9727119827270507,44.9375,2.6325621604919434,3.25
181,1.9557076692581177,45.3125,2.8300867080688477,2.25
182,1.978571605682373,45.375,2.023594856262207,2.75
183,1.9670143032073975,48.3125,4.334329128265381,1.75
184,1.9616627788543701,46.5625,5.200476169586182,2.499999761581421
185,1.9292684936523437,47.875,3.4521942138671875,1.2499998807907104
186,1.9600812244415282,46.25,3.8845860958099365,3.0
187,1.9686647605895997,44.9375,4.990767002105713,1.75
188,1.9889476346969603,43.875,4.802669048309326,2.75
189,1.9404415369033814,47.5,4.921733856201172,1.2499998807907104
190,1.9484321880340576,45.125,7.313230991363525,1.5
191,1.9082908535003662,49.25,2.7375435829162598,2.0
192,1.9299570989608765,47.6875,4.234388828277588,2.499999761581421
193,1.893233757019043,47.25,2.5179286003112793,2.0
194,1.9281432485580445,47.125,3.6980559825897217,2.499999761581421
195,1.9412819337844849,48.5,4.223734378814697,1.75
196,1.9370285701751708,46.125,4.074828624725342,2.499999761581421
197,1.932478551864624,48.0625,7.428040504455566,1.5
198,1.9453534746170045,48.0,2.3623385429382324,1.5
199,1.9295889854431152,48.25,1.9695959091186523,1.2499998807907104
200,1.9046065759658815,49.0625,3.7120604515075684,2.75
201,1.9143421983718871,47.6875,3.9394590854644775,3.0
202,1.924398465156555,48.625,3.479259490966797,1.5
203,1.8796602153778077,49.3125,2.683777093887329,2.75
204,1.9106946802139282,46.5625,3.443707227706909,2.0
205,1.8940124130249023,48.1875,1.8061555624008179,2.75
206,1.9230845832824708,47.125,4.085331439971924,2.0
207,1.918615355491638,46.5,3.989790916442871,2.25
208,1.883951473236084,50.125,5.1156463623046875,2.25
209,1.8984652137756348,49.5625,0.6200188994407654,3.0
210,1.9129956674575805,47.8125,6.094274044036865,1.75
211,1.9347964096069337,46.0,6.750399112701416,2.0
212,1.8921455812454224,48.875,3.228612184524536,2.0
213,1.887667407989502,48.3125,4.8642048835754395,2.0
214,1.8823750352859496,48.3125,4.706699848175049,2.499999761581421
215,1.9296231937408448,47.875,4.520895004272461,2.0
216,1.8905036735534668,48.3125,2.9998865127563477,1.5
217,1.9375192165374755,44.5625,3.1794238090515137,2.25
218,1.8816541528701782,49.0625,3.9980010986328125,2.499999761581421
219,1.8949098110198974,47.8125,4.790501117706299,2.0
220,1.857260160446167,48.375,3.2243030071258545,3.25
221,1.89188570022583,48.4375,3.508042812347412,1.5
222,1.8776922941207885,47.9375,5.456442832946777,2.75
223,1.8794138574600219,48.6875,3.2866790294647217,2.25
224,1.9302402544021606,49.0625,1.5490779876708984,2.0
225,1.8975547981262206,48.125,2.9225475788116455,1.2499998807907104
226,1.8924363374710083,48.25,3.8651466369628906,2.499999761581421
227,1.8839292192459107,49.125,3.5134098529815674,1.75
228,1.808276515007019,49.375,4.026504993438721,1.2499998807907104
229,1.8659011316299439,49.8125,5.609067440032959,2.0
230,1.8790057611465454,49.75,4.2978081703186035,1.5
231,1.8561126804351806,51.1875,4.118833065032959,1.5
232,1.8659262609481813,50.0,4.700865268707275,2.0
233,1.8766890668869018,47.6875,7.72890043258667,2.75
234,1.9083280277252197,49.0625,3.256955862045288,2.25
235,1.854613914489746,50.6875,3.199409008026123,1.75
236,1.881780276298523,48.8125,4.280679702758789,2.75
237,1.8564685440063478,51.5,2.713534116744995,1.5
238,1.8981735849380492,49.5625,3.904362678527832,2.25
239,1.841495485305786,49.75,2.2431039810180664,2.25
240,1.8715903329849244,50.4375,3.8959290981292725,1.2499998807907104
241,1.8730408239364624,50.375,3.4209282398223877,2.75
242,1.8394226741790771,51.74999999999999,3.2682747840881348,1.75
